nidn,nama,jenis_kelamin,tanggal_lahir,agama,dosen_prodi,status,alamat
1018069956,"Ginger Moon, S.T., M.Cs",0,2001-05-03,3,603124,1,822-8463 Risus. St.
1769141253,"Joan Mckee, S.Kom., M.Kom",1,2003-04-17,3,603124,2,"P.O. Box 331, 4435 Dui St."
2419945222,"Lance Tyson, PHD",0,2002-11-27,3,603125,1,"P.O. Box 413, 8083 Aliquam St."
1937482093,"Brett Holmes, S.T., M.Cs",0,2003-05-14,1,603124,2,865-9157 Interdum Av.
2002245253,"Jermaine Blackburn, S.Kom., M.Cs",0,2002-01-03,5,603124,2,1094 Iaculis Rd.
2271511944,"Peter Velasquez, S.Kom., M.T",0,2002-04-29,4,603125,2,Ap #343-2528 Dapibus St.
1573876932,"Vance Lawson, S.T., M.Cs",0,2001-05-08,2,603125,2,467-8284 Nam St.
1683464197,"Adrian Burnett, MIT",0,2003-12-15,5,603125,2,"P.O. Box 852, 4811 Dui, Rd."
2484273475,"Evelyn Solomon, S.Kom., M.Cs",0,2001-11-05,4,603124,1,7260 Nulla St.
1293372971,"Keith Ortega, PHD",0,2000-09-25,4,603125,2,994-667 Non Rd.
2215166172,"Ryder Bradley, S.Kom., M.Kom",0,2003-03-20,5,603125,1,835-9673 Sodales Rd.
2412839000,"Kareem Webster, PHD",1,2000-12-04,1,603124,1,868-2288 Magna. St.
1270909871,"Josiah Velazquez, S.Kom., M.Kom",0,1999-11-22,3,603124,2,"P.O. Box 449, 4818 Sed Street"
1149465030,"Ariel Hebert, S.Kom., M.Kom",1,2001-05-24,2,603125,2,754-9735 Neque. Av.
1137329278,"Louis Raymond, S.Kom., M.Cs",1,2000-05-28,3,603124,2,295-2503 Aenean Road
2135123379,"John Barlow, S.Kom., M.T",1,2000-05-06,4,603124,3,Ap #811-3076 Nunc Avenue
1224597378,"Merrill Lee, S.Kom., M.T",1,2002-02-16,4,603125,2,3697 Enim St.
1643277563,"Quon Bradley, MIT",0,2003-11-29,1,603125,2,717-4397 Pellentesque Road
2687752680,"Sebastian Mann, S.Kom., M.T",0,2000-03-29,2,603124,1,"P.O. Box 177, 5774 Sed St."
1830541399,"Xaviera Goff, MIT",1,2000-01-22,2,603125,1,"Ap #233-1754 Adipiscing, Av."
1570760196,"Aurelia Harris, PHD",1,2000-11-10,4,603125,2,306 Risus. Road
1707591468,"Jesse Jensen, MIT",0,2002-05-16,5,603124,1,466-1477 Sem St.
1052016523,"Sopoline Abbott, S.Kom., M.T",1,2002-05-30,3,603124,2,"P.O. Box 152, 2263 Taciti Av."
2835831404,"Gray Kline, PHD",0,2003-04-25,2,603124,1,365-4480 Dapibus Rd.
2740892698,"Keegan Ellis, S.T., M.Cs",0,2000-09-10,2,603124,1,"P.O. Box 396, 735 Amet Av."
1677355594,"Gary Dyer, S.Kom., M.Cs",1,2000-02-26,5,603124,2,"P.O. Box 808, 9591 Ultrices Street"
1900719437,"Beck Wilcox, S.T., M.Cs",1,2003-08-18,1,603125,2,"P.O. Box 643, 1710 In Rd."
1759606428,"Tobias Acosta, PHD",1,2002-09-05,1,603125,3,"P.O. Box 866, 9802 Aliquet St."
2655015635,"Zachery Matthews, S.Kom., M.Cs",0,2001-05-24,3,603124,3,"P.O. Box 957, 2843 Sed Avenue"
2569370046,"Kasimir Moran, PHD",0,2003-05-16,3,603124,1,655-596 Lectus. Avenue
1136210225,"Boris Reyes, S.Kom., M.T",0,2000-06-13,4,603125,1,860-2520 Eget Rd.
2147022064,"Price Osborn, S.Kom., M.Cs",1,2000-08-12,5,603125,2,Ap #244-2488 Convallis Street
1138362856,"Donovan Molina, S.Kom., M.T",1,2003-07-27,3,603124,2,Ap #582-5045 Tortor St.
2368424985,"Ivor Reeves, S.Kom., M.Kom",0,2002-03-03,4,603125,2,642-284 Mattis. Av.
2614650023,"Cade Gardner, S.Kom., M.T",1,2001-02-10,5,603124,3,676-6585 Cursus Ave
1972767980,"Skyler Fisher, S.T., M.Cs",1,2003-03-05,2,603124,2,"299-4957 Luctus, Street"
2878951077,"Jane Rhodes, S.T., M.Cs",1,2003-10-06,3,603125,2,"Ap #876-6071 Et, Road"
2083602901,"Gage Salas, S.T., M.Cs",1,2002-11-19,3,603124,1,Ap #527-5158 Tempor Avenue
1988297993,"Abra Daniel, S.Kom., M.T",1,2000-05-08,3,603124,2,Ap #126-2898 Luctus St.
2798759314,"Gannon Frost, S.T., M.Cs",1,2000-04-11,2,603124,2,Ap #158-7335 Mauris St.
1054977889,"Leo Underwood, S.T., M.Cs",0,2002-02-04,3,603125,3,2805 Nunc Road
2772113477,"David Tate, S.Kom., M.Kom",1,1999-12-07,5,603125,1,862-9365 Mauris St.
2238981561,"Oleg Stout, S.T., M.Cs",1,2002-08-24,1,603124,1,500-582 Vel Ave
1709420556,"Jade Brooks, S.Kom., M.Cs",0,2003-06-07,4,603125,2,"Ap #130-5075 Amet, St."
2279921750,"Xyla Patrick, MIT",0,2000-02-23,2,603125,2,859-7123 Adipiscing St.
1042149247,"Nichole Cummings, S.T., M.Cs",1,2000-11-17,3,603124,2,"P.O. Box 879, 3070 Ornare Ave"
2607205087,"Jenette Hodge, MIT",1,2000-04-23,3,603125,3,"2882 Ac, Av."
2757848408,"Yolanda Pollard, PHD",1,2001-01-03,4,603125,1,9992 Suspendisse Avenue
2964561715,"Wendy Gregory, S.Kom., M.Cs",0,2001-12-04,2,603125,1,Ap #972-7631 Metus. Ave
2435476318,"Holly Joseph, S.Kom., M.Cs",1,2002-03-21,4,603124,2,Ap #214-8416 Nec Av.
1278691082,"Ashely Ware, S.Kom., M.T",1,1999-11-11,3,603124,1,293 Consectetuer Rd.
1702429607,"Dieter Wilson, S.Kom., M.T",1,2000-05-05,2,603125,3,"Ap #513-749 Vitae, St."
1542432349,"Amber Trujillo, S.Kom., M.Kom",0,2000-09-13,1,603125,1,Ap #865-318 Libero Road
2360342073,"Peter Salinas, S.Kom., M.Cs",1,2003-12-07,1,603125,2,636-4740 Aliquet. Ave
2089251601,"Kelsey Hess, S.Kom., M.Cs",1,2003-09-18,3,603124,2,"P.O. Box 323, 2858 Elit St."
1363426660,"Miranda Duffy, S.T., M.Cs",1,2002-03-12,2,603124,2,4839 Ipsum. Avenue
2258239338,"Judah Lindsey, S.Kom., M.Cs",0,2000-08-10,3,603124,2,"545-8961 Ornare, Road"
1259172616,"Sharon Cortez, MIT",1,2002-05-29,2,603124,3,"5287 Non, Street"
1917578672,"Nasim Burt, PHD",0,2003-02-24,4,603124,1,365-5936 Nunc Road
2314951360,"Simone Haney, MIT",1,2002-12-15,1,603125,1,"2658 Id, Avenue"
1080998388,"Griffith Craig, S.Kom., M.Cs",0,2003-04-29,3,603124,2,245-4432 Enim. Road
1784773948,"April Castaneda, PHD",1,2003-03-11,3,603124,1,113-9252 Nam Street
1430993873,"Jermaine Solomon, S.Kom., M.Cs",0,2002-12-23,2,603125,3,Ap #937-3793 Parturient St.
1598221854,"Beau Montoya, S.Kom., M.Kom",0,2003-09-16,5,603124,3,3894 Vivamus Av.
1047229756,"Nero Cunningham, PHD",0,2002-11-27,2,603125,3,"P.O. Box 263, 8915 Ipsum. Avenue"
1240825936,"Amanda Skinner, S.Kom., M.Cs",0,2001-08-01,2,603124,3,6040 Magnis Ave
1641930029,"Mohammad Bray, S.Kom., M.T",0,2000-12-09,4,603125,2,Ap #157-5789 Erat. St.
1421717339,"Fuller Roberson, S.Kom., M.Kom",0,2002-01-02,3,603124,2,Ap #918-7348 Integer Av.
1017451033,"Kyle Adams, MIT",0,2002-01-21,2,603124,3,Ap #220-3642 Nisi St.
1412449288,"Yvonne Ramirez, S.Kom., M.Kom",1,2000-05-30,3,603125,1,539-6288 Est Ave
1421298493,"Alea Wall, PHD",0,2002-07-12,3,603125,1,211-5484 Nascetur St.
1705970506,"Patience Haynes, PHD",1,2001-06-20,3,603124,3,"P.O. Box 873, 8165 Sem. Ave"
2444994028,"Jessica Vinson, PHD",1,2001-09-13,2,603125,2,5804 Interdum Street
1858722295,"Nelle Merrill, PHD",0,2001-12-05,4,603125,2,"P.O. Box 756, 1282 Aliquam Rd."
1813272561,"Naomi English, S.Kom., M.Kom",0,2001-12-10,1,603124,3,330-7541 In Road
2551795508,"Adena Munoz, S.Kom., M.T",1,2001-10-12,1,603125,2,"139-675 Nec, Avenue"
2064613427,"Alma Monroe, S.Kom., M.Cs",0,2001-05-17,4,603125,3,"P.O. Box 812, 604 Mauris Rd."
2400299448,"Rachel Cooke, PHD",1,2003-11-01,1,603125,1,580-6617 Gravida. Rd.
2033301859,"Stewart Meyer, S.Kom., M.Kom",1,2003-08-02,5,603125,2,723-7760 Purus Av.
1507579540,"Rose Oneil, S.Kom., M.T",1,2002-08-06,3,603125,3,129-1639 In Rd.
1776998522,"Isaiah Christensen, MIT",0,2000-05-22,1,603124,2,417-981 Ac Avenue
1680135144,"Hanna Hooper, PHD",1,2002-04-01,4,603125,3,165-4161 Enim Rd.
2019565248,"Serina Odom, S.Kom., M.Cs",1,2001-11-02,3,603124,1,"P.O. Box 928, 3243 Risus. Road"
1456218290,"Noelani Ware, S.Kom., M.T",1,2002-04-17,3,603125,1,482-4527 Quis Street
1200663959,"Kiara Hansen, S.T., M.Cs",0,2002-07-06,2,603125,2,Ap #232-3250 Egestas Street
2276324537,"Armando Gillespie, S.Kom., M.Kom",1,2001-02-16,4,603124,3,"P.O. Box 189, 5380 Morbi Rd."
2001294688,"Kiona Rodriguez, MIT",1,2002-07-30,2,603124,3,"P.O. Box 827, 9765 Phasellus Av."
2741942471,"Lester Roberts, S.T., M.Cs",0,2003-03-18,4,603124,3,"P.O. Box 187, 6112 Id Rd."
2210536136,"Baxter Greene, S.T., M.Cs",1,2000-02-23,2,603125,1,867-6078 Purus St.
1987377621,"Mary Sharp, MIT",0,2000-05-25,1,603125,2,6219 Dictum St.
2315609085,"Dustin Cohen, PHD",0,2000-01-21,2,603125,2,Ap #491-4300 Erat. Street
2807058981,"Idola Haney, S.Kom., M.T",1,2001-06-17,4,603125,3,Ap #747-6678 Ut Rd.
2568677321,"Elmo Bernard, S.Kom., M.Kom",1,2003-01-17,3,603125,2,"585-3338 A, Road"
1948239274,"Stuart Henry, PHD",0,2001-11-10,2,603124,2,Ap #246-290 Ultrices. Ave
1882585951,"Ryder Lindsay, MIT",1,2001-12-07,1,603125,2,"Ap #276-8414 Amet, Road"
1234382819,"Brian Spencer, S.Kom., M.Cs",0,2000-07-11,4,603125,3,Ap #854-9313 Auctor Av.
1969144624,"Gemma Velez, S.Kom., M.Kom",1,2003-08-04,2,603125,3,Ap #641-2405 Urna. Av.
1708317997,"Knox Pittman, MIT",0,2002-02-21,4,603124,2,Ap #803-8883 Amet Rd.
1674494247,"Darrel Jenkins, S.Kom., M.Kom",1,2001-09-27,4,603124,2,9099 Egestas St.
2950349166,"Ignatius Ochoa, S.Kom., M.Kom",0,1999-11-11,3,603124,2,577-4268 Augue St.
2693398501,"Connor Potter, S.T., M.Cs",1,2002-01-13,5,603125,2,"364-585 Lectus, Avenue"
1203520063,"Brenna Swanson, S.Kom., M.Kom",0,2000-03-17,1,603124,2,"P.O. Box 909, 7721 Adipiscing Avenue"
1416238674,"Camilla Duran, S.Kom., M.Kom",0,2000-02-16,4,603125,1,"Ap #587-3121 Enim, Rd."
2822315738,"Jamal Fischer, MIT",1,2002-07-05,4,603125,1,642-1585 Tempor Ave
1133170168,"Zephania Crosby, S.T., M.Cs",1,2001-11-06,3,603125,2,"P.O. Box 550, 802 Nisl Road"
2887078356,"Bevis Hill, S.Kom., M.T",0,2002-08-07,3,603124,3,"P.O. Box 858, 4281 Sed Ave"
1971545847,"Vernon Vinson, S.Kom., M.Cs",0,2000-07-07,4,603124,2,6283 A Rd.
2022132143,"Ezra Atkins, S.Kom., M.T",0,2000-03-06,2,603125,2,362 Sed St.
1553682888,"Tarik Andrews, S.T., M.Cs",1,1999-11-12,3,603125,2,6171 Lacus. St.
2984286836,"Myra Stanley, S.Kom., M.Cs",0,2003-03-16,3,603124,2,"Ap #282-636 A, Rd."
2194806610,"Justin Grimes, S.Kom., M.T",1,2000-06-11,2,603124,2,"P.O. Box 278, 1210 Nunc Road"
1069153550,"Sebastian Graham, S.Kom., M.Kom",1,2001-06-24,4,603125,2,Ap #266-4182 Sapien St.
1467516530,"Tate Chapman, PHD",0,2000-04-16,3,603124,2,576-5355 Mus. Street
1842282121,"Paul Haney, PHD",0,2000-06-07,4,603124,2,Ap #858-7299 Ut Ave
2532892129,"Nichole Ellison, S.Kom., M.Kom",1,2002-07-04,4,603125,2,"P.O. Box 691, 1133 Sed Avenue"
2549945877,"Dai Washington, S.Kom., M.Cs",1,2003-07-05,1,603125,1,"P.O. Box 888, 272 Integer St."
1463318983,"Vance Daniel, MIT",0,2002-03-23,2,603124,3,Ap #937-3650 Ornare St.
2578571349,"Imelda Baird, S.T., M.Cs",1,2001-05-04,2,603124,1,"P.O. Box 778, 5933 Id St."
1411041847,"Hanna Key, MIT",1,2002-12-27,4,603124,2,"P.O. Box 425, 8996 Morbi Av."
1025621933,"Maris Levine, PHD",0,2002-08-28,4,603124,2,"P.O. Box 612, 7937 Et Ave"
2645177845,"Kaitlin Gill, S.T., M.Cs",1,2002-10-16,4,603125,2,283-7869 Bibendum St.
1760118186,"Dean Espinoza, S.Kom., M.Cs",0,2003-10-18,2,603125,1,241-1494 Sagittis Avenue
2609881671,"Hedy Dyer, MIT",0,2000-11-07,4,603125,2,4657 Blandit St.
2626593783,"Eaton Jones, S.T., M.Cs",1,2003-12-28,4,603124,2,Ap #847-3187 Mollis. Ave
1226579542,"Alfonso Gamble, PHD",0,2001-06-07,3,603125,2,"Ap #551-9130 Tempor, Road"
1608661996,"Risa Chambers, S.Kom., M.T",1,2000-05-04,1,603124,2,Ap #112-6231 Aliquet St.
1989521735,"Acton Bryan, S.Kom., M.Cs",1,2001-04-13,2,603124,2,Ap #726-858 Nec St.
1989940586,"Jescie Farmer, S.T., M.Cs",1,2002-10-01,3,603125,3,8249 Erat. Ave
2336516358,"Noel Jimenez, S.Kom., M.T",0,1999-12-19,2,603124,1,Ap #325-3887 Tempus Avenue
2201158456,"Eagan Booth, MIT",1,2001-04-12,4,603125,1,617-6106 Velit. St.
2613629894,"Ross Wilkins, MIT",0,2001-09-08,4,603124,2,949-5115 Eros Rd.
1640736553,"Nehru Tran, S.T., M.Cs",1,2001-06-21,5,603124,1,840-9112 Sem Rd.
1372842139,"Francis Holloway, MIT",0,2000-03-17,1,603125,1,421-2605 Sed Ave
2293122367,"Travis Wells, PHD",1,2000-09-22,3,603125,2,"P.O. Box 371, 9368 Amet Rd."
1210723709,"Abraham Alvarado, MIT",0,2001-02-21,2,603124,1,Ap #401-4435 Sociis Street
2552098267,"Colleen Moon, PHD",1,2000-05-28,2,603125,2,"P.O. Box 326, 1961 Donec Avenue"
1953883902,"Chadwick Higgins, S.Kom., M.Kom",0,2003-03-28,5,603124,2,493-1716 Eu Rd.
1958379927,"Quyn Abbott, MIT",1,2000-11-12,3,603125,3,Ap #388-3003 Ornare. Street
2573448799,"Dale Graves, PHD",0,2003-03-29,5,603124,2,"P.O. Box 365, 5092 Torquent Rd."
2342460681,"Noah Adams, S.T., M.Cs",1,2002-06-09,5,603124,1,440-3347 Sed Ave
1323921070,"Cadman Sawyer, MIT",0,2003-02-01,3,603125,3,"P.O. Box 356, 208 Dis St."
2739455127,"Lance Horton, S.Kom., M.T",1,2003-03-13,1,603125,1,1220 Tristique St.
2411163628,"Baker Gray, S.Kom., M.Cs",1,2001-05-08,4,603125,1,700-5322 Odio. Street
1577895546,"Perry Hamilton, S.Kom., M.Cs",0,2002-11-10,3,603125,1,Ap #899-611 Morbi Rd.
1016867840,"May Simon, S.Kom., M.T",0,2001-01-24,2,603125,2,784-8686 Aliquet Av.
1241565915,"Camden Cunningham, PHD",0,2002-01-25,4,603125,3,Ap #880-1320 Eu Ave
2491001832,"Raven Dean, S.Kom., M.T",0,2003-08-10,2,603124,2,4935 Proin Avenue
1308519615,"Regan Randall, S.Kom., M.Cs",1,2000-10-13,4,603124,1,Ap #254-2651 Praesent Road
2917072506,"Sybil Marsh, PHD",1,1999-11-06,2,603124,2,Ap #454-2581 Nibh. Road
2859945490,"Susan Gould, S.Kom., M.T",1,2001-12-25,2,603124,2,"P.O. Box 862, 375 Aenean Ave"
1161656985,"Rashad Washington, PHD",1,2001-12-08,3,603124,2,Ap #471-9683 Velit. St.
1962501220,"Wayne Randall, MIT",1,2002-03-23,5,603125,1,2427 Sed St.
1272981439,"Declan Ortiz, S.T., M.Cs",0,2001-05-21,2,603124,2,"P.O. Box 399, 3798 Odio. Av."
2233562651,"Leandra Wynn, S.Kom., M.Cs",1,1999-11-19,4,603125,2,"P.O. Box 512, 1410 Sapien Av."
2372094456,"Quail Berg, S.Kom., M.T",0,2001-07-01,3,603125,3,8148 Est Ave
1922141326,"Nathaniel Downs, S.Kom., M.Cs",1,2002-05-21,3,603125,2,164-4252 Arcu Ave
1952333099,"Noelani Leonard, PHD",1,2003-02-24,3,603124,2,9674 Facilisi. Avenue
1713379504,"Anne Meyer, S.Kom., M.T",0,2001-03-02,1,603125,2,Ap #698-3071 Accumsan Av.
2027759444,"Marny Velazquez, S.T., M.Cs",0,2001-07-28,2,603124,2,3100 Malesuada Av.
2846345471,"Lester Brennan, PHD",1,2003-05-31,5,603125,2,Ap #360-788 Proin St.
1133477968,"Isaiah Leonard, S.Kom., M.T",1,2002-11-15,5,603125,2,"P.O. Box 356, 8375 Facilisi. Rd."
2986524998,"Ramona Roberts, MIT",1,2003-01-19,3,603125,3,Ap #387-1596 Pellentesque Rd.
1961202642,"Kenneth Preston, S.Kom., M.Cs",1,2002-08-12,5,603125,3,"P.O. Box 305, 8027 Tellus Road"
1924750882,"Colin Larson, S.Kom., M.Kom",1,2000-11-03,2,603125,2,429-2129 Nec Rd.
2789834589,"Skyler Richardson, S.Kom., M.Kom",0,2003-03-28,2,603125,1,239-6263 Facilisis St.
2026226845,"Ora Jimenez, S.T., M.Cs",0,2003-08-08,4,603124,2,"P.O. Box 118, 9400 Fermentum Rd."
2760196824,"Jarrod Pugh, MIT",0,2003-05-12,3,603125,1,638-5806 Maecenas Ave
1972276340,"Acton Wyatt, MIT",0,2001-08-09,3,603125,2,"P.O. Box 962, 3975 Nullam St."
1576632274,"Andrew Acevedo, S.Kom., M.Kom",1,2003-10-16,4,603124,1,573-9576 Urna. St.
1516841255,"Ivory Lloyd, PHD",0,2001-04-17,4,603124,2,545-5657 Quisque Street
2279309062,"Erasmus Mercer, MIT",0,2001-03-05,2,603125,2,Ap #898-5625 Eu St.
2952595025,"Teegan O'brien, S.Kom., M.Kom",1,2003-04-01,4,603124,1,"P.O. Box 811, 468 In St."
2409928248,"Raymond Horne, S.T., M.Cs",0,2001-01-29,5,603124,1,Ap #449-4865 Vestibulum Av.
1687947293,"Clare Blankenship, S.T., M.Cs",1,2002-03-11,2,603124,2,"Ap #385-2217 Eleifend, St."
2362347601,"Lani Mclaughlin, MIT",1,2003-02-22,5,603125,1,"P.O. Box 319, 4001 Urna. St."
1036083668,"Cade Tillman, S.Kom., M.T",0,2003-04-27,3,603125,3,656-9510 Elementum St.
2961242133,"Iola Nguyen, S.T., M.Cs",1,2002-12-09,5,603125,2,Ap #536-4930 Sodales Rd.
1808030686,"Hillary Walters, S.T., M.Cs",1,2003-01-20,4,603124,2,"P.O. Box 455, 7728 Non Street"
2413351231,"Claire Gibson, PHD",0,2002-04-05,2,603125,3,921-776 Tellus Ave
1030513095,"Heidi Austin, S.Kom., M.Kom",1,2003-01-13,5,603125,2,"400-2605 Et, Avenue"
2093306822,"Lewis Reed, PHD",1,2003-08-30,5,603125,1,Ap #746-180 Purus. Rd.
1535302838,"Brennan Beck, PHD",0,2001-12-14,4,603124,3,119-9986 Cursus. Rd.
2031163732,"Aphrodite Mcneil, PHD",1,2002-03-28,4,603124,3,Ap #840-377 Ullamcorper Ave
1963353867,"Keith England, S.Kom., M.Kom",1,2003-05-30,5,603124,1,530-7383 Euismod Ave
1527762220,"Ria Beach, S.Kom., M.Kom",1,2003-08-09,2,603124,3,"Ap #596-6160 Nec, Ave"
1851943149,"Noelani Payne, MIT",1,2003-04-12,5,603125,1,386-6192 Sem St.
1530802929,"Hyatt Roy, S.Kom., M.Cs",0,2002-05-05,3,603125,2,108 Purus Road
2296600522,"Emily Jordan, S.Kom., M.Kom",0,2001-08-31,3,603125,2,267-2871 Sed Avenue
1662667243,"Illana Mcdaniel, S.T., M.Cs",1,2000-08-11,4,603124,2,"P.O. Box 456, 8393 Nunc St."
1367407409,"Teegan Walker, S.Kom., M.Cs",1,2003-01-01,3,603124,1,Ap #769-8732 Mi St.
2072889535,"Leah Irwin, S.Kom., M.Cs",0,2001-03-19,1,603124,3,"Ap #789-863 Ornare, Avenue"
2333789410,"Palmer Harmon, S.Kom., M.Kom",1,2002-09-03,5,603124,2,9377 Luctus. Ave
2841295787,"Cameron Bullock, PHD",1,2003-11-12,1,603125,2,259-4057 Consectetuer St.
1482530640,"Emi Murray, S.Kom., M.T",1,2002-02-28,3,603124,1,2510 Vehicula. Road
1589394410,"Hanna Carroll, MIT",0,2000-09-05,3,603125,2,470-1573 Vitae St.
1208361451,"Caleb Pate, PHD",1,2003-04-25,1,603124,2,"P.O. Box 843, 8744 Mauris Rd."
1620598901,"Tara Mckinney, S.T., M.Cs",1,2001-10-24,5,603124,2,"876-1627 A, Ave"
2518555724,"Rachel Roberson, S.Kom., M.Kom",0,2000-07-17,3,603124,2,"441-4933 Semper, Av."
1222175036,"Fritz Hull, S.Kom., M.T",0,2000-08-21,2,603125,1,Ap #242-5653 Id Rd.
1085550718,"Laith Mcmillan, PHD",1,2000-08-04,5,603124,2,Ap #387-2050 Netus Road
1949231730,"Marny Mclean, S.Kom., M.T",0,1999-11-13,3,603124,3,986 Commodo Rd.
2809623834,"Simone Woodward, S.Kom., M.T",1,2000-05-24,2,603124,2,329-4935 Velit Avenue
1505133793,"Tallulah Levine, S.Kom., M.Cs",0,2002-09-14,1,603125,2,"Ap #942-7595 Vestibulum, Rd."
1790462845,"Vivien Barnett, PHD",1,2000-04-29,3,603125,1,Ap #549-610 Malesuada St.
2577488029,"Linus Kinney, S.T., M.Cs",0,2002-04-14,1,603125,3,5930 Aliquam Street
1737935853,"Alan Santana, MIT",1,2001-04-07,2,603125,3,751-4880 Gravida St.
1005239588,"Joel Dotson, S.T., M.Cs",0,2001-11-18,3,603124,3,"P.O. Box 886, 9606 Elit. Rd."
1200291303,"Bryar Hogan, S.Kom., M.T",1,2003-01-21,2,603124,2,Ap #239-8893 Risus. Street
2147278967,"Risa Harrison, S.Kom., M.Kom",1,2001-05-16,4,603124,1,Ap #816-7800 Dolor St.
2006611017,"Hamilton Nguyen, S.T., M.Cs",0,2003-07-06,3,603124,1,9489 Nonummy St.
1566767573,"Joshua Osborn, PHD",0,2000-03-18,2,603125,3,"P.O. Box 318, 7649 Convallis Rd."
2697178056,"Jaime Levy, S.Kom., M.Cs",0,2001-12-31,3,603124,3,8862 Netus Avenue
1946981861,"Eve Ramsey, PHD",0,2001-08-07,3,603124,3,240-9125 Morbi Av.
2263864100,"Ross Morgan, PHD",1,2001-04-03,3,603124,2,191-2925 Faucibus Road
1982657202,"Laura Mcguire, S.Kom., M.Kom",0,2000-01-27,4,603125,1,Ap #670-5462 Pede. Street
1774196831,"Finn Ortiz, PHD",0,2001-04-17,4,603125,3,Ap #434-6048 Diam Rd.
1273278873,"Alice Rodgers, S.T., M.Cs",1,2002-12-03,3,603124,3,Ap #467-5394 Lectus St.
1739974707,"Fuller Benson, S.Kom., M.Kom",0,2003-05-31,5,603124,2,9289 Consequat Av.
1427931054,"Vernon Gillespie, S.Kom., M.Kom",1,2003-05-08,2,603125,2,856-9749 Aenean Av.
2864343293,"Hamilton Todd, MIT",0,2000-11-19,2,603125,1,"P.O. Box 139, 9955 Quisque Ave"
2370615050,"Lee Curry, PHD",1,2001-05-21,3,603125,2,795-779 Dui Av.
2088144784,"Merrill Knight, S.Kom., M.Kom",1,1999-12-26,3,603125,3,"P.O. Box 399, 6240 Auctor Road"
1615949406,"Trevor Green, S.Kom., M.Kom",1,2002-05-26,1,603125,3,Ap #815-2884 Fusce Avenue
2002862616,"Cora Cobb, S.Kom., M.Kom",1,1999-11-03,4,603124,2,Ap #890-850 Turpis Rd.
2099667973,"Theodore Cooper, S.T., M.Cs",1,2001-06-07,4,603125,2,"P.O. Box 364, 335 Luctus Road"
1138964209,"Berk Dodson, MIT",0,2003-07-12,5,603124,3,414-3637 Odio. St.
2304473956,"Veronica Strickland, S.Kom., M.Cs",0,2001-02-26,4,603124,1,Ap #126-2661 Donec Rd.
2203855412,"Malachi Simon, MIT",0,2000-02-01,2,603124,1,Ap #344-8072 Integer Rd.
1836529597,"Xena Wagner, S.Kom., M.Kom",0,2003-05-31,3,603125,1,7859 Metus. Rd.
1023320105,"Ryder Lawson, S.Kom., M.Cs",1,2003-03-17,2,603125,3,"Ap #921-6156 Montes, St."
2587535319,"Heather Case, MIT",1,1999-12-14,1,603124,2,750-2712 Mattis Ave
